"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-28,"China",47,NA,NA,NA,NA,NA,0,2
2020-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-31,"China",NA,NA,NA,NA,NA,NA,1,1
2020-09-01,"China",NA,NA,NA,25,NA,NA,1,1
2020-09-02,"China",NA,NA,NA,NA,NA,NA,1,6
2020-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-04,"China",NA,NA,NA,NA,NA,NA,0,6
2020-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-06,"China",NA,NA,NA,5,NA,NA,0,1
2020-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-08,"China",NA,NA,NA,NA,NA,100,0,6
2020-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-11,"China",NA,NA,NA,NA,NA,NA,0,3
2020-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"China",NA,NA,NA,NA,NA,NA,0,5
2020-09-15,"China",NA,NA,NA,NA,NA,NA,0,4
2020-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-17,"China",NA,47,NA,NA,NA,NA,0,2
2020-09-18,"China",NA,47,NA,NA,NA,NA,0,2
2020-09-19,"China",NA,67,NA,NA,NA,NA,1,2
2020-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-21,"China",NA,NA,NA,NA,NA,NA,0,2
2020-09-22,"China",NA,NA,NA,5,NA,NA,0,1
2020-09-23,"China",NA,NA,NA,55,NA,NA,0,3
2020-09-24,"China",NA,NA,NA,NA,NA,100,0,6
2020-09-25,"China",NA,NA,30,NA,NA,NA,0,2
2020-09-26,"China",47,NA,NA,NA,NA,NA,0,2
2020-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-28,"China",NA,NA,NA,NA,NA,100,1,6
2020-09-29,"China",NA,NA,NA,NA,NA,NA,0,3
2020-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-02,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-07,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-09,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-10,"China",NA,NA,NA,NA,NA,NA,1,2
2020-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-12,"China",NA,NA,NA,NA,80,NA,0,5
2020-10-13,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-16,"China",NA,NA,NA,NA,0,NA,0,1
2020-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-22,"China",NA,NA,NA,NA,NA,NA,0,3
2020-10-23,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-24,"China",NA,NA,NA,NA,NA,NA,0,5
2020-10-25,"China",NA,NA,NA,NA,0,NA,0,1
2020-10-26,"China",NA,NA,NA,NA,NA,17,0,1
2020-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-30,"China",NA,47,NA,NA,NA,NA,0,2
2020-10-31,"China",NA,NA,NA,5,NA,NA,0,1
2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-02,"China",NA,NA,NA,NA,NA,17,0,1
2020-11-03,"China",NA,47,NA,NA,NA,NA,0,2
2020-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-05,"China",NA,NA,NA,NA,NA,NA,1,6
2020-11-06,"China",NA,NA,NA,NA,NA,100,1,6
2020-11-07,"China",NA,NA,NA,NA,NA,67,1,4
2020-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-09,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-10,"China",NA,NA,NA,NA,NA,NA,0,4
2020-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-13,"China",NA,NA,NA,5,NA,NA,0,1
2020-11-14,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-16,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-17,"China",NA,NA,NA,NA,NA,NA,0,6
